Model,Predictors,Indices,MSE,MAE
"SMI Model (1, 0) - PPR",39,4,764.0869681549942,21.91578324325227
"SMI Model (6, 0) - Additive",39,23,981.0325434523795,24.61669530766124
"SMI Model (1, 0) - Linear",16,0,2065.761883913231,34.105000519380575
Backward Elimination,36,NA,819.4292378379096,22.99827486945468
GAIM,39,6,1972.7765763553618,37.13002673434212
PPR,23,6,723.066776736929,21.731013658090674
