Model,Predictors,Indices,MSE,MAE
"SMI Model (1, 12) - PPR",25,5,1094.0972870685275,26.18565019089172
"SMI Model (1, 0) - Additive",25,23,784.4483638639932,21.698171484194667
"SMI Model (1, 0) - Linear",2,0,1556.2136761911963,30.89252762382483
Backward Elimination,17,NA,564.811124669236,19.604169501043177
GAIM,25,6,1664.8010035968723,31.787358862363085
PPR,23,6,796.7787552238962,22.454992767196927
