Model,Predictors,Indices,MSE,MAE
"SMI Model (1, 12) - PPR",24,5,1745.30919457575,33.249125547308786
"SMI Model (1, 0) - Additive",24,23,1112.0794805501794,26.973467763204106
"SMI Model (1, 0) - Linear",1,0,2009.8472542854809,35.345782591580104
Backward Elimination,15,NA,911.5089565365294,25.033727131952716
GAIM,24,6,2958.7190087446356,44.09719970876339
PPR,23,6,796.7787552238962,22.454992767196927
