Model,Predictors,Indices,MSE1,MAE1,MSE2,MAE2
"SMI Model (5, 12) - PPR",61,7,85.23293848901386,7.140207313501333,97.35269524226008,7.7721822059099965
"SMI Model (1, 0) - Additive",61,59,96.39826725424842,7.481374396940909,112.19862031967541,8.155700607810987
"SMI Model (6, 11) - Linear",61,2,100.23147819839434,7.718833723000385,120.5419184136449,8.597694271699645
Backward Elimination,40,NA,136.2035628506974,9.319201155521828,140.86677082642765,9.385383889557259
GAIM,61,4,90.76309771538351,7.246743136003107,106.25053291171496,7.927817368399149
PPR,61,4,90.69833669263778,7.342722483249328,110.49672123963809,8.0572727895914
