Model,Predictors,Indices,MSE,MAE
"SMI Model (12, 0) - PPR",25,5,1745.0298684056158,33.24595071583446
"SMI Model (1, 0) - Additive",25,23,1112.1811913017204,26.97507931042709
"SMI Model (1, 0) - Linear",2,0,2009.847254285475,35.34578259158007
Backward Elimination,16,NA,911.5700362630984,25.034683777251292
GAIM,25,6,2203.5300072144146,37.78788584674485
PPR,23,6,796.7787552238962,22.454992767196927
