Model,numPred,numInd,MSE1,MAE1,MSE2,MAE2
"SMI Model (11, 12) - PPR",47,7,76.32769454356547,6.721226102061463,92.115831528812,7.540033551675632
"SMI Model (1, 0) - Additive",47,45,160.4539550332976,10.031265024575273,208.07249894295757,11.316683834764802
"SMI Model (1, 11) - Linear",47,2,159.57943020993503,9.924800719253437,203.67818297460323,11.033525278309718
Backward Elimination,34,NA,154.83666178528068,10.003563231969627,164.51031050467492,9.92030805053844
CGAIM,47,3,85.67864979,7.207608715,101.6890416,8.032492216
GAIM,47,3,81.74003626508963,6.9202898855905755,101.65366360204014,8.210442997511205
PPR,47,3,86.96613387890694,7.352576226038816,105.22650021545712,8.351590878374555
