Model,Predictors,Indices,MSE1,MAE1,MSE2,MAE2
"smimodel(12, 0) - PPR",47,5,80.33409755236951,6.840969253254854,99.9264349387681,7.642766736572258
"smimodel(1, 0) - Additive",47,45,151.4077317205838,9.816334048841025,190.8799058847064,11.107016549707524
"smimodel(12, 5) - Linear",47,2,164.62873942165075,10.152899068618693,207.04011783774484,11.140938845751279
Backward Elimination,36,NA,148.38666586143896,9.808351645749761,162.60845626221297,10.034230817318832
GAIM,47,3,85.14452116278198,7.256773836256116,103.49373224069137,8.480125636763043
PPR,47,3,82.87700279923388,7.201568950581285,104.21668622635664,8.403648725451593
