Model,numPred,MSE1,MAE1,MSE2,MAE2
"SGAIM (15, 0)",11,87.57746479,7.160203443,102.4832335,7.869796641
CGAIM,47,85.67864979,7.207608715,101.6890416,8.032492216
Unconstrained GAIM,47,81.74003627,6.920289886,103.0361595,8.065792423
