Date,Actual,Predicted,CGAIM,GAIM
2014-06-01,108,85.67382030540439,87.06963228536294,83.34020997104251
2014-06-02,82,86.95094161964468,89.28713895066142,88.3380498895692
2014-06-03,76,90.06855121391747,89.4625560001615,92.07418895462092
2014-06-04,76,85.59232459716398,86.24719871710283,86.80366971352183
2014-06-05,88,81.60361893159104,83.8936681373348,84.08880350034076
2014-06-06,104,82.6832839229841,83.91433309566281,84.38814835115505
2014-06-07,80,84.10081805424115,85.70337041720853,85.87334854601062
2014-06-08,101,86.07084946801284,87.28997121397626,85.94117578498432
2014-06-09,85,87.5569375460712,87.48134299026293,89.91603158456496
2014-06-10,73,86.50944062194614,85.5938546831138,86.9878814757464
2014-06-11,78,84.45024197068744,84.79645179059406,83.70428969697646
2014-06-12,89,81.95457190244689,82.93107552119555,84.3910921782778
2014-06-13,73,82.86862200285861,82.8078335914042,86.07535048265169
2014-06-14,70,82.60967662105995,82.648031998641585,82.24604320466985
2014-06-15,79,81.5687579280374,82.6024899508143,82.17290767613626
2014-06-16,90,81.53079434007539,82.66920592051368,84.30677083327974
2014-06-17,85,84.92646007164296,84.4053755351463,83.24370981966969
2014-06-18,85,86.00990214412,83.73263374823759,87.71295046949443
2014-06-19,87,85.15502821329261,83.34492373804541,84.3415433005578
2014-06-20,82,82.04279448381918,82.06039018876726,86.31747216464922
2014-06-21,74,81.44518485062694,81.87419087293432,82.58769227149892
2014-06-22,88,83.15096010666062,82.1362990431939,84.49271867445128
2014-06-23,93,85.34502200277858,83.60989655044784,82.84624060525094
2014-06-24,84,83.43238983095436,81.97320540241823,85.88922437795371
2014-06-25,85,84.55762191623221,82.06115866537094,85.97403375757736
2014-06-26,81,81.47275549845499,82.70920158060987,84.27679428561984
2014-06-27,98,83.0299550373232,84.72077476753012,84.02173021776093
2014-06-28,107,86.35510130174819,86.09026246236776,92.44661848321446
2014-06-29,97,90.13105200493513,88.20666470168975,92.58383806493116
2014-06-30,100,91.55252058134059,88.20942155876655,92.20403884100902
