Date,Actual,Predicted,CGAIM,GAIM
2014-06-01,108,84.53963952614708,86.19913072445364,85.4873394205879
2014-06-02,82,88.21654125459571,87.88002976612215,88.16139310453482
2014-06-03,76,90.22588525930283,89.19532549881215,91.03909655315812
2014-06-04,76,85.80413915407716,87.3687988362101,86.29485015115677
2014-06-05,88,82.67505721167853,84.37644481615874,82.2508496274485
2014-06-06,104,83.34645629778402,84.12548102709447,83.3252675520735
2014-06-07,80,83.92644933182142,84.37289415775012,84.17576448340664
2014-06-08,101,86.93342422890683,86.79302180069061,86.9162715375533
2014-06-09,85,88.66253481763964,88.00879106673442,88.73093465027105
2014-06-10,73,86.26959314376069,86.62848062451577,86.78125918544339
2014-06-11,78,84.69526505528069,85.06919625568035,85.61749783564146
2014-06-12,89,82.85739408263397,83.40388561719139,83.64114641302217
2014-06-13,73,84.04902422998921,83.53074080328392,84.15199195395974
2014-06-14,70,83.40433062131143,83.22219026507521,83.4454293159179
2014-06-15,79,82.16784869055105,82.95300760991873,82.23976854775542
2014-06-16,90,81.95107085775317,82.64012933873879,82.61958633662711
2014-06-17,85,86.43621362004188,84.80878046935038,86.38667605867596
2014-06-18,85,86.39136204598945,85.21924942320555,86.94416729565184
2014-06-19,87,85.20125154021626,84.66026594780902,85.15640588039368
2014-06-20,82,81.60870188901515,82.312126037436,82.39632172963259
2014-06-21,74,81.61409085861092,81.76221937925814,82.80843736535074
2014-06-22,88,82.73780468019694,81.81878789335465,83.42324653784236
2014-06-23,93,85.09904336012812,83.07900334608185,85.47349495724761
2014-06-24,84,85.3658635438495,83.62585297460663,85.88127784030507
2014-06-25,85,84.99213836222401,83.31784555006521,85.43069386230799
2014-06-26,81,81.46535942977023,82.86149790818064,81.05963633808945
2014-06-27,98,83.50603384140943,84.4739265758886,83.23995303563915
2014-06-28,107,86.38856959281651,86.01691038697791,87.57886558690784
2014-06-29,97,91.22583350100467,89.32304178183041,91.757824457304
2014-06-30,100,91.6655670862547,90.74727289660069,90.70117224694552
